"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,0.6663,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,9783.30896155138,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,9943.63576058763,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,10096.5866202009,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,10314.8272712664,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,10515.1021019761,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,10818.9632030667,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,11079.0480302666,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,11297.1838483146,,
"GRC","Greece","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,11801.8202651896,,
